600x600

robots:
145;143;8.9007e-308;25;10;right
251;249;4;25;10;right
25;369;4;19;10;right
466;469;4;15;1;right
418;183;4;45;20;right
171;90;10;45;20;right
105;514;10;45;12;right
300;487;100;38;12;left
211;264;-115;65;12;left
382;325;-115;65;245;left
107;338;-115;65;123;left
491;133;54;49;43;left

obstacles:
64;161
316;82
242;394
183;561
41;546
129;410
111;253
20;216
449;566
584;498
510;364
392;431
534;244
349;173
482;56
550;56
242;10
49;26
87;91
38;318
12;462
290;573
192;484
316;349
271;199
390;98
