800x800

robots:
29;34;8.9007e-308;40;10;right
27;89;20;40;10;right
74;63;20;40;10;left
129;50;20;40;45;left
133;102;20;50;45;right
163;26;20;70;10;right
203;91;13;43;13;left
227;52;-20;42;17;right
277;69;-20;130;1;left
457;487;-20;130;1;right
302;478;-20;130;1;left
675;478;75;105;75;left
100;377;90;120;90;right
332;244;6.91048e-310;25;10;right
334;714;6.91048e-310;25;10;right
69;706;6.91048e-310;25;10;right
687;711;6.91048e-310;25;10;right

obstacles:
74;169
135;171
193;173
258;173
349;170
431;160
297;172
396;164
460;156
500;156
546;156
591;155
633;157
357;1
354;137
355;103
354;22
348;156
312;168
300;168
268;169
240;169
217;169
187;167
141;166
122;166
107;165
94;165
153;163
167;166
319;164
334;166
352;125
353;6
55;170
692;156
757;152
632;181
631;199
631;212
633;235
186;344
185;397
188;548
186;643
310;633
387;631
597;623
495;626
594;513
585;444
580;352
478;330
368;339
289;337
168;787
111;786
58;789
-5;759
-4;701
-2;647
783;763
781;720
780;676
717;788
660;786
594;785
519;786
446;786
381;782
301;779
238;776
