550x600

robots:
329;404;8.9007e-308;50;1;right
175;133;90;50;1;left
102;540;10;50;30;left
483;540;10;50;30;right
450;31;10;50;180;right
55;227;1;130;2;right

obstacles:
210;135
209;175
207;215
343;127
344;169
345;209
203;252
336;253
74;358
104;394
138;418
175;441
227;457
277;460
327;459
379;443
421;423
464;391
494;354
342;93
210;100
211;62
343;54
88;376
121;410
155;435
197;454
251;464
295;463
348;456
398;438
444;411
481;376
340;231
348;195
346;148
346;110
347;77
211;81
210;118
209;159
211;191
207;232
